title,url,thumbnail_url,channel,description,views,post_date,date_scraped
"CELTICS at WARRIORS | FULL GAME 1 NBA FINALS HIGHLIGHTS | June 2, 2022",https://www.youtube.com/watch?v=FORXBT6GFa0,https://i.ytimg.com/vi/FORXBT6GFa0/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB2-3Alcb6IRtA4QPXvP7GZUV-r4Q,NBA,"Stay up-to-date on news, live scores and stats with the NBA App: https://app.link.nba.com/app22 After outscoring Golden State, 40-16 in Q4, the Celtics defeated the Warriors in Game 1, 120-108....",3.9M views,19 hours ago,2022-06-03 23:17:23
Polo G - Distraction (Official Video),https://www.youtube.com/watch?v=ktFLtS8GfoU,https://i.ytimg.com/vi/ktFLtS8GfoU/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCr1we3t7VUxBUanEWklxD5DryCfQ,Polo G,"Official video for ""Distraction"" by Polo G Polo G ""Distraction"" out now: https://polog.lnk.to/distraction Directed by Christian Breslauer Written by Polo G Follow Polo G Instagram - https://ww...",1.4M views,19 hours ago,2022-06-03 23:17:29
"State of Play | June 2, 2022 [ENGLISH]",https://www.youtube.com/watch?v=Wr4PGa1sHFQ,https://i.ytimg.com/vi/Wr4PGa1sHFQ/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDzfwtBuH2M4SluCeeXl1qh9rM7HQ,PlayStation,"Rated RP – Mature Tune in for nearly 30 minutes of announcements and updates from the world of PlayStation. We’ll have some exciting reveals from our third party partners, plus a sneak...",2.1M views,Streamed 1 day ago,2022-06-03 23:17:33
Millie Bobby Brown Needs a Milkshake While Eating Spicy Wings | Hot Ones,https://www.youtube.com/watch?v=n5Qpg-iZPT8,https://i.ytimg.com/vi/n5Qpg-iZPT8/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLARBgkpwRieJU1GCXOR7TqZUCihOg,First We Feast,"Millie Bobby Brown is an actress and producer you know best from her role as Eleven on the seven-time Emmy Award–winning global megahit Stranger Things, now streaming its highly anticipated...",5.6M views,1 day ago,2022-06-03 23:17:37
I Survived On $0.01 For 30 Days - Day 2,https://www.youtube.com/watch?v=6BVMjlWja_8,,Ryan Trahan,Day 2. 1 penny. 1 MILLION MEALS BABY! donate here - https://www.feedingamerica.org/penny,2.3M views,1 day ago,2022-06-03 23:17:41
BREAKING: Jury Hands Down Verdict in Johnny Depp's Favor at End of Defamation Trial with Amber Heard,https://www.youtube.com/watch?v=hbMeRX6Cfio,,Law&Crime Network,"BREAKING: A Virginia jury just handed down a stunning verdict, mostly in actor Johnny Depp’s favor, at the end of a rollercoaster defamation trial against his ex-wife and actress Amber Heard....",16M views,2 days ago,2022-06-03 23:17:44
Lil Kee - What You Sayin ft. Lil Baby,https://www.youtube.com/watch?v=5AyNWmEVPP0,,Lil Kee,Music video by Lil Kee performing What You Sayin. © 2022 Four Pockets Full Inc http://vevo.ly/xt7ExZ,329K views,19 hours ago,2022-06-03 23:17:44
Doja Cat - Vegas (From the Original Motion Picture Soundtrack ELVIS) (Official Video),https://www.youtube.com/watch?v=QZp2biJul1c,,Doja Cat,Doja Cat // Vegas (From the Original Motion Picture Soundtrack ELVIS) // Out Now Get It Here // https://DojaCat.lnk.to/Vegas Planet Her // The New Album Out Now: https://DojaCat.lnk.to/PlanetHer...,1.1M views,19 hours ago,2022-06-03 23:17:45
"What Happens When You Order 10,000 Amazon Packages?",https://www.youtube.com/watch?v=JCgk-mnngY4,,Airrack,Arm yourself with Mafia Merch pls! (I'm literally loosing money on this) Text MAFIA to 310-347-4648 https://www.airrack.shop Follow me on Instagram! INSTAGRAM ▶️ https://urlgeni.us/instagram/...,2.7M views,1 day ago,2022-06-03 23:17:46
Official “Ultimate Team” Teaser - Call of Duty: Modern Warfare II,https://www.youtube.com/watch?v=Xd9QeRguvDA,,Call of Duty,"The ultimate weapon is team. #ModernWarfare2 Worldwide #MWII Reveal 📅 June 8th 🕘 10am PT Modern Warfare® II releases October 28, 2022. #ModernWarfare2 #CallOfDuty Follow #CallofDuty...",9.7M views,1 day ago,2022-06-03 23:17:46
