title,url,channel,description,views,post_date,date_scraped
"CELTICS at WARRIORS | FULL GAME 1 NBA FINALS HIGHLIGHTS | June 2, 2022",https://www.youtube.com/watch?v=FORXBT6GFa0,NBA,"Stay up-to-date on news, live scores and stats with the NBA App: https://app.link.nba.com/app22 After outscoring Golden State, 40-16 in Q4, the Celtics defeated the Warriors in Game 1, 120-108....",4.9M views,1 day ago,2022-06-04 12:13:18
Polo G - Distraction (Official Video),https://www.youtube.com/watch?v=ktFLtS8GfoU,Polo G,"Official video for ""Distraction"" by Polo G Polo G ""Distraction"" out now: https://polog.lnk.to/distraction Directed by Christian Breslauer Written by Polo G Follow Polo G Instagram - https://ww...",2.1M views,1 day ago,2022-06-04 12:13:23
"Yungeen Ace - ""Where They At"" (Official Music Video)",https://www.youtube.com/watch?v=f_jEFa0-NDM,Yungeen Ace,"Watch the official music video for Yungeen Ace's ""Where They At"". Stream/download ""Where They At"" https://yungeenace.ffm.to/wheretheyat Directed by Leeza Ashley Listen to Yungeen Ace's ""All...",479K views,1 day ago,2022-06-04 12:13:26
I Survived On $0.01 For 30 Days - Day 3,https://www.youtube.com/watch?v=cg_cXfftAlM,Ryan Trahan,Day 3. 1 penny. 1 MILLION MEALS BABY! donate here - https://www.feedingamerica.org/penny,3.1M views,1 day ago,2022-06-04 12:13:28
Lil Kee - What You Sayin ft. Lil Baby,https://www.youtube.com/watch?v=5AyNWmEVPP0,Lil Kee,Music video by Lil Kee performing What You Sayin. © 2022 Four Pockets Full Inc http://vevo.ly/xt7ExZ,626K views,1 day ago,2022-06-04 12:13:29
Doja Cat - Vegas (From the Original Motion Picture Soundtrack ELVIS) (Official Video),https://www.youtube.com/watch?v=QZp2biJul1c,Doja Cat,Doja Cat // Vegas (From the Original Motion Picture Soundtrack ELVIS) // Out Now Get It Here // https://DojaCat.lnk.to/Vegas Planet Her // The New Album Out Now: https://DojaCat.lnk.to/PlanetHer...,2M views,1 day ago,2022-06-04 12:13:32
Millie Bobby Brown Needs a Milkshake While Eating Spicy Wings | Hot Ones,https://www.youtube.com/watch?v=n5Qpg-iZPT8,First We Feast,"Millie Bobby Brown is an actress and producer you know best from her role as Eleven on the seven-time Emmy Award–winning global megahit Stranger Things, now streaming its highly anticipated...",6.9M views,2 days ago,2022-06-04 12:13:34
"State of Play | June 2, 2022 [ENGLISH]",https://www.youtube.com/watch?v=Wr4PGa1sHFQ,PlayStation,"Rated RP – Mature Tune in for nearly 30 minutes of announcements and updates from the world of PlayStation. We’ll have some exciting reveals from our third party partners, plus a sneak...",2.2M views,Streamed 1 day ago,2022-06-04 12:13:37
Gucci Mane - Mrs. Davis [Official Music Video],https://www.youtube.com/watch?v=lUnynBPGc-Q,Gucci Mane,Gucci Mane - Mrs. Davis Download/Stream: https://guccimane.lnk.to/MrsDavis Subscribe for more official content from Gucci Mane: https://Atlantic.lnk.to/GMsubscribe Follow Gucci Mane Website:...,593K views,1 day ago,2022-06-04 12:13:39
BREAKING: Jury Hands Down Verdict in Johnny Depp's Favor at End of Defamation Trial with Amber Heard,https://www.youtube.com/watch?v=hbMeRX6Cfio,Law&Crime Network,"BREAKING: A Virginia jury just handed down a stunning verdict, mostly in actor Johnny Depp’s favor, at the end of a rollercoaster defamation trial against his ex-wife and actress Amber Heard....",17M views,2 days ago,2022-06-04 12:13:40
